iter	RMSE
265	13524.85148
266	13498.59515
267	13480.86217
268	13454.30791
269	13420.5638
270	13383.00181
271	13360.5841
272	13342.55291
273	13333.22045
274	13313.2942
275	13299.59898
276	13261.21184
277	13236.66626
278	13206.64268
279	13180.48221
280	13168.92091
281	13138.71371
282	13131.61683
283	13101.76153
284	13079.13399
285	13058.57639
286	13038.96606
287	13029.88961
288	13001.39722
289	12967.98547
290	12957.29642
291	12945.08957
292	12912.86239
293	12901.83405
294	12889.46976
295	12883.17242
296	12843.40611
297	12830.86304
298	12806.92154
299	12791.91801
300	12761.68479
301	12752.8363
302	12713.42324
303	12706.71807
304	12699.61925
305	12679.13758
306	12648.1205
307	12623.4605
308	12580.23311
309	12559.93446
310	12522.66372
311	12508.59361
312	12481.94496
313	12441.45858
314	12416.23085
315	12403.78376
316	12386.00099
317	12360.2402
318	12328.40427
319	12282.80062
320	12259.73129
321	12236.77779
322	12214.2185
323	12197.05033
324	12161.69569
325	12123.8552
326	12096.37705
327	12072.20778
328	12035.59006
329	12015.15292
330	11993.47672
331	11969.19823
332	11947.40323
333	11924.96986
334	11903.30064
335	11884.86653
336	11876.65949
337	11852.43888
338	11840.0996
339	11806.14815
340	11792.3633
341	11776.56416
342	11763.50799
343	11727.7609
344	11713.23438
345	11698.84561
346	11681.40801
347	11663.71146
348	11658.07255
349	11638.80821
350	11619.46129
351	11608.55574
352	11592.78768
353	11574.3003
354	11552.27424
355	11526.91076
356	11501.75955
357	11484.46977
358	11467.82576
359	11446.59935
360	11426.01364
361	11406.66371
362	11397.28532
363	11367.49941
364	11340.21752
365	11317.60612
366	11312.50226
367	11289.82184
368	11273.39491
369	11248.87293
370	11232.87384
371	11202.76402
372	11183.06255
373	11177.06938
374	11158.98424
375	11128.12589
376	11095.70921
377	11085.36155
378	11062.97428
379	11058.5855
380	11039.5814
381	11027.62388
382	11006.88768
383	10992.5278
384	10966.16103
385	10926.54252
386	10891.78221
387	10877.76608
388	10866.47974
389	10853.58786
390	10841.57945
391	10819.4085
392	10799.09144
393	10774.75912
394	10759.37275
395	10734.57715
396	10704.41588
397	10674.53383
398	10654.339
399	10618.39304
400	10601.86651
401	10592.12675
402	10579.63646
403	10559.70056
404	10542.17348
405	10524.11058
406	10488.76247
407	10455.75754
408	10451.33916
409	10440.33146
410	10415.23442
411	10394.20528
412	10372.72751
413	10345.24066
414	10325.13199
415	10305.81875
416	10281.8163
417	10273.58852
418	10258.56861
419	10230.37446
420	10208.24738
421	10189.88591
422	10161.40896
423	10150.12818
424	10125.08473
425	10113.54262
426	10101.03262
427	10087.32834
428	10057.30181
429	10033.84494
430	10018.09872
431	10002.71956
432	9986.340049
433	9958.082018
434	9937.076916
435	9927.764686
436	9926.178038
437	9918.996071
438	9904.868472
439	9889.358664
440	9872.578142
441	9849.568362
442	9846.654014
443	9837.435261
444	9821.171982
445	9790.613689
446	9773.115325
447	9746.4008
448	9723.022579
449	9715.328641
450	9704.867088
451	9700.789825
452	9698.277524
453	9671.41006
454	9661.380576
455	9653.589954
456	9622.089494
457	9602.756872
458	9585.25077
459	9566.558115
460	9553.639021
461	9542.801596
462	9539.36038
463	9519.759712
464	9507.325372
465	9504.837259
466	9489.239028
467	9471.484255
468	9468.202411
469	9456.281505
470	9435.897512
471	9410.878956
472	9408.616909
473	9387.453839
474	9379.349204
475	9367.871783
476	9350.846433
477	9334.224114
478	9305.443801
479	9288.432325
480	9286.035453
481	9267.459883
482	9250.143401
483	9235.136695
484	9213.262964
485	9211.113285
486	9193.658401
487	9175.47024
488	9160.001095
489	9154.753008
490	9148.944386
491	9145.001028
492	9143.164302
493	9128.893562
494	9112.641784
495	9092.045381
496	9060.674238
497	9051.241347
498	9031.140886
499	9013.748799
500	8998.265059
501	8984.748841
502	8964.815142
503	8942.135198
504	8918.944865
505	8906.586217
506	8895.178491
507	8875.82213
508	8866.248597
509	8854.681752
510	8848.293749
511	8834.786353
512	8821.724579
513	8820.04545
514	8800.719628
515	8782.571865
516	8769.471508
517	8746.174887
518	8731.793214
519	8714.360977
520	8698.645072
521	8691.647184
522	8686.478742
523	8685.1337
524	8676.797426
525	8661.917249
526	8653.772627
527	8626.226249
528	8614.494956
