iter	Passed	Remaining
199	761	2285
200	765	2280
201	768	2275
202	772	2270
203	775	2265
204	779	2261
205	782	2257
206	786	2252
207	789	2248
208	794	2246
209	798	2242
210	801	2238
211	805	2233
212	809	2231
213	812	2226
214	816	2221
215	820	2217
216	823	2213
217	827	2209
218	831	2205
219	835	2202
220	839	2199
221	843	2196
222	847	2193
223	851	2189
224	855	2185
225	858	2181
226	862	2176
227	865	2171
228	869	2167
229	873	2163
230	876	2158
231	880	2154
232	883	2150
233	887	2145
234	890	2141
235	894	2136
236	897	2132
237	902	2130
238	905	2125
239	909	2121
240	913	2117
241	916	2113
242	920	2110
243	924	2105
244	928	2102
245	932	2099
246	936	2096
247	940	2092
248	943	2088
249	947	2084
250	951	2081
251	955	2076
252	958	2073
253	962	2068
254	966	2066
255	970	2063
256	975	2061
257	980	2059
258	984	2055
259	988	2052
260	992	2048
261	996	2045
262	1000	2042
263	1004	2038
264	1007	2034
265	1011	2030
266	1015	2026
267	1018	2022
268	1022	2017
269	1026	2015
270	1030	2011
271	1034	2007
272	1038	2004
273	1042	2000
274	1046	1997
275	1050	1994
276	1054	1990
277	1058	1986
278	1061	1982
279	1065	1978
280	1068	1974
281	1073	1972
282	1077	1968
283	1080	1963
284	1084	1959
285	1088	1955
286	1091	1951
287	1095	1947
288	1098	1942
289	1102	1939
290	1106	1935
291	1110	1931
292	1113	1927
293	1117	1923
294	1121	1919
295	1124	1915
296	1128	1910
297	1131	1906
298	1135	1903
299	1139	1898
300	1143	1895
301	1147	1891
302	1151	1888
303	1155	1885
304	1159	1882
305	1164	1879
306	1168	1876
307	1171	1872
308	1175	1868
309	1179	1865
310	1183	1861
311	1187	1856
312	1190	1852
313	1195	1850
314	1199	1847
315	1203	1843
316	1207	1839
317	1211	1836
318	1215	1832
319	1218	1827
320	1222	1823
321	1225	1819
322	1229	1815
323	1233	1811
324	1237	1808
325	1241	1804
326	1245	1801
327	1249	1798
328	1253	1794
329	1257	1790
330	1261	1786
331	1264	1782
332	1268	1778
333	1272	1774
334	1276	1771
335	1279	1767
336	1283	1763
337	1287	1759
338	1291	1755
339	1294	1751
340	1298	1747
341	1302	1743
342	1305	1739
343	1309	1735
344	1312	1731
345	1316	1727
346	1320	1723
347	1323	1719
348	1327	1715
349	1330	1711
350	1334	1706
351	1337	1702
352	1341	1698
353	1345	1695
354	1349	1691
355	1352	1687
356	1356	1683
357	1360	1679
358	1364	1676
359	1368	1673
360	1372	1669
361	1376	1665
362	1380	1661
363	1383	1657
364	1387	1653
365	1392	1650
366	1395	1647
367	1399	1643
368	1403	1639
369	1407	1635
370	1410	1631
371	1414	1627
372	1418	1623
373	1422	1619
374	1425	1616
375	1430	1612
376	1433	1608
377	1437	1605
378	1441	1601
379	1446	1598
380	1450	1594
381	1454	1591
382	1458	1588
383	1462	1584
384	1465	1580
385	1470	1577
386	1474	1573
387	1478	1569
388	1482	1566
389	1486	1562
390	1490	1559
391	1494	1555
392	1498	1551
393	1502	1548
394	1506	1544
395	1510	1541
396	1514	1537
397	1518	1533
398	1522	1530
399	1526	1526
400	1530	1522
401	1534	1519
402	1538	1515
403	1541	1511
404	1545	1507
405	1549	1503
406	1552	1499
407	1556	1495
408	1560	1491
409	1564	1488
410	1568	1484
411	1571	1480
412	1575	1476
413	1579	1472
414	1582	1468
415	1586	1464
416	1589	1460
417	1594	1457
418	1598	1453
419	1601	1449
420	1605	1445
421	1609	1441
422	1612	1437
423	1616	1433
424	1619	1429
425	1624	1425
426	1627	1422
427	1631	1418
428	1635	1414
429	1639	1410
430	1643	1407
431	1647	1403
432	1651	1399
433	1654	1395
434	1658	1391
435	1662	1388
436	1666	1384
437	1670	1380
438	1674	1376
439	1677	1372
440	1681	1368
441	1685	1364
442	1688	1360
443	1692	1357
444	1697	1353
445	1701	1350
446	1704	1346
447	1709	1342
448	1712	1338
449	1716	1334
450	1719	1330
451	1723	1326
452	1727	1322
453	1730	1319
454	1734	1314
455	1737	1311
456	1741	1307
457	1745	1303
458	1748	1299
459	1752	1295
460	1756	1291
461	1760	1287
462	1764	1284
463	1768	1280
464	1771	1276
465	1776	1273
466	1780	1269
467	1784	1265
468	1788	1262
469	1792	1258
470	1796	1254
471	1800	1251
472	1803	1247
473	1807	1243
474	1811	1239
475	1815	1235
476	1819	1231
477	1823	1228
478	1827	1224
479	1830	1220
480	1834	1216
481	1839	1213
482	1843	1209
483	1847	1206
484	1851	1202
485	1855	1198
486	1858	1194
487	1862	1190
488	1866	1186
489	1869	1182
490	1873	1179
491	1877	1175
492	1881	1171
493	1885	1167
494	1889	1164
495	1893	1160
496	1897	1156
497	1901	1153
498	1905	1149
499	1908	1145
500	1912	1141
501	1915	1137
502	1919	1133
503	1922	1129
504	1926	1125
505	1930	1121
506	1933	1117
507	1936	1113
508	1940	1109
509	1944	1105
510	1947	1101
511	1951	1097
512	1954	1093
513	1958	1089
514	1962	1086
515	1965	1081
516	1969	1078
517	1973	1074
518	1977	1070
519	1980	1066
520	1984	1062
521	1989	1059
522	1992	1055
523	1996	1051
524	2000	1047
525	2003	1043
526	2007	1039
527	2011	1036
528	2014	1032
529	2018	1028
530	2022	1024
531	2026	1020
532	2029	1016
533	2034	1013
534	2038	1009
535	2042	1005
536	2045	1001
537	2049	998
538	2053	994
539	2056	990
540	2060	986
541	2063	982
542	2067	978
543	2071	974
544	2075	971
545	2080	967
546	2083	963
547	2087	960
548	2091	956
549	2095	952
550	2099	948
551	2103	944
552	2106	940
553	2110	937
554	2113	933
555	2117	929
556	2121	925
557	2125	921
558	2128	917
559	2132	913
560	2135	909
561	2139	906
562	2143	902
563	2147	898
564	2151	894
565	2155	891
566	2159	887
567	2163	883
568	2167	879
569	2171	876
570	2175	872
571	2179	868
572	2182	864
573	2186	861
574	2191	857
575	2195	853
576	2198	849
577	2202	846
578	2206	842
579	2209	838
580	2213	834
581	2217	830
582	2221	826
583	2225	823
584	2229	819
585	2234	815
586	2238	812
587	2242	808
588	2246	804
589	2250	801
590	2254	797
591	2258	793
592	2262	789
593	2266	785
594	2270	782
595	2273	778
596	2277	774
597	2281	770
598	2285	766
599	2289	763
600	2293	759
601	2297	755
602	2300	751
603	2304	747
604	2307	743
605	2311	740
606	2315	736
607	2318	732
608	2322	728
609	2326	724
610	2329	720
611	2333	716
612	2337	713
613	2341	709
614	2344	705
615	2348	701
616	2351	697
617	2355	693
618	2359	689
619	2363	686
620	2366	682
621	2370	678
622	2374	674
623	2378	670
624	2381	666
625	2385	663
626	2389	659
627	2393	655
628	2397	651
629	2400	647
630	2404	643
631	2407	640
632	2411	636
633	2415	632
634	2419	628
635	2423	624
636	2427	621
637	2431	617
638	2436	613
639	2440	610
640	2444	606
641	2448	602
642	2451	598
643	2455	594
644	2459	590
645	2462	587
646	2466	583
647	2470	579
648	2474	575
649	2477	571
650	2481	567
651	2484	563
652	2488	560
653	2492	556
654	2495	552
655	2499	548
656	2502	544
657	2506	540
658	2509	537
659	2513	533
660	2516	529
661	2520	525
662	2523	521
663	2527	517
664	2531	513
665	2534	509
666	2538	506
667	2541	502
668	2545	498
669	2548	494
670	2552	490
671	2555	486
672	2559	483
673	2563	479
674	2567	475
675	2571	471
676	2575	467
677	2579	464
678	2583	460
679	2587	456
680	2591	452
681	2595	449
682	2599	445
683	2602	441
684	2606	437
685	2609	433
686	2613	429
687	2616	425
688	2620	422
689	2624	418
690	2628	414
691	2632	410
692	2636	407
693	2640	403
694	2644	399
695	2648	395
696	2651	391
697	2655	388
698	2659	384
699	2662	380
700	2666	376
701	2670	372
702	2673	368
703	2677	365
704	2681	361
705	2685	357
706	2688	353
707	2692	349
708	2695	346
709	2699	342
710	2703	338
711	2706	334
712	2710	330
713	2714	326
714	2717	323
715	2721	319
716	2724	315
717	2728	311
718	2732	307
719	2736	304
720	2739	300
721	2743	296
722	2747	292
723	2750	288
724	2754	284
725	2758	281
726	2762	277
727	2765	273
728	2769	269
729	2773	265
730	2777	262
731	2780	258
732	2784	254
733	2788	250
734	2792	246
735	2795	243
736	2799	239
737	2803	235
738	2807	231
739	2810	227
740	2814	224
741	2818	220
742	2822	216
743	2826	212
744	2830	208
745	2834	205
746	2838	201
747	2842	197
748	2846	193
749	2850	190
750	2854	186
751	2858	182
752	2862	178
753	2865	174
754	2869	171
755	2873	167
756	2877	163
757	2880	159
758	2884	155
759	2887	151
760	2892	148
761	2896	144
762	2900	140
763	2903	136
764	2907	133
765	2911	129
766	2915	125
767	2918	121
768	2922	117
769	2926	114
770	2930	110
771	2933	106
772	2937	102
773	2941	98
774	2944	94
775	2948	91
776	2952	87
777	2956	83
778	2959	79
779	2963	75
780	2967	72
781	2971	68
782	2974	64
783	2978	60
784	2982	56
785	2986	53
786	2990	49
787	2993	45
788	2997	41
789	3001	37
790	3005	34
791	3008	30
792	3012	26
793	3016	22
794	3020	18
795	3023	15
796	3027	11
797	3031	7
798	3035	3
799	3040	0
