iter	Logloss
0	0.6792317395
1	0.6662875244
2	0.6528485314
3	0.6416916061
4	0.6304918789
5	0.6212914975
6	0.6124311451
7	0.6044278193
8	0.5960546251
9	0.5885070393
10	0.580921206
11	0.5739689688
12	0.5663936436
13	0.5621840633
14	0.5561923445
15	0.5507897876
16	0.5447390152
17	0.5395515662
18	0.5348010077
19	0.5308445591
20	0.5271498244
21	0.5232075981
22	0.5191816931
23	0.5152159569
24	0.5120412713
25	0.5087539239
26	0.5054672757
27	0.5022673385
28	0.4999919543
29	0.497349842
30	0.4942106947
31	0.4910760667
32	0.4887645493
33	0.4859508456
34	0.4838909075
35	0.481200872
36	0.4793905206
37	0.4774007942
38	0.4753864098
39	0.4735822046
40	0.4715287381
41	0.4700887092
42	0.4682486891
43	0.4666809994
44	0.4651516033
45	0.4636676403
46	0.4619836038
47	0.4607344121
48	0.4594391065
49	0.4583155853
50	0.4574199592
51	0.4562432442
52	0.4550275328
53	0.4538241655
54	0.4526318958
55	0.4517688823
56	0.4507010605
57	0.4502098839
58	0.4493590276
59	0.4484117892
60	0.447528062
61	0.4465556187
62	0.4456764593
63	0.4449148922
64	0.4437287704
65	0.4429094634
66	0.4419775257
67	0.4411226155
68	0.4407201627
69	0.4402084054
70	0.4394555895
71	0.4391726705
72	0.4387624632
73	0.437769576
74	0.437120324
75	0.4364703711
76	0.4360235437
77	0.4354759193
78	0.4346951089
79	0.4342584471
80	0.4340084288
81	0.433564582
82	0.4329254195
83	0.4324572194
84	0.4320870755
85	0.4317649332
86	0.4314258329
87	0.430837791
88	0.4303593467
89	0.4300047107
90	0.4295847631
91	0.4290186771
92	0.428670231
93	0.4283600776
94	0.4278406632
95	0.4272972187
96	0.4267704405
97	0.4261439148
98	0.4259001627
99	0.4255084648
100	0.4251249091
101	0.424781916
102	0.4246259279
103	0.4244209113
104	0.4241231308
105	0.4238026585
106	0.4234972052
107	0.4231802251
108	0.4229656827
109	0.4225639682
110	0.4221765671
111	0.4219941025
112	0.4217093782
113	0.4214181926
114	0.4211564685
115	0.4209495457
116	0.4206530303
117	0.420429036
118	0.4202006801
119	0.4198690916
120	0.4195919921
121	0.4193960465
122	0.4190137123
123	0.4187971455
124	0.4185271064
125	0.4181531175
126	0.4178993194
127	0.4175827425
128	0.4173596978
129	0.4171179988
130	0.4168084649
131	0.4164020787
132	0.4162066595
133	0.4160705474
134	0.415908824
135	0.4154222195
136	0.4151977714
137	0.4149535518
138	0.4145921412
139	0.4144372669
140	0.414240077
141	0.4140952906
142	0.4139566572
143	0.4136983341
144	0.4134015614
145	0.4132063851
146	0.412982583
147	0.4127097094
148	0.4124435968
149	0.4122440569
150	0.4120623316
151	0.4118777818
152	0.4115935287
153	0.4114041287
154	0.4112588517
155	0.4110836584
156	0.4109792176
157	0.4108561011
158	0.4106495825
159	0.4104385077
160	0.410348226
161	0.4101856404
162	0.4100472737
163	0.4099411834
164	0.4098281628
165	0.4096495766
166	0.4095606345
167	0.4094050033
168	0.4091825003
169	0.4090600811
170	0.4088692873
171	0.408746866
172	0.4084655976
173	0.408185283
174	0.4080485963
175	0.4079052642
176	0.4078104958
177	0.4077039507
178	0.4074670924
179	0.4073312394
180	0.4071296368
181	0.4069990714
182	0.406892854
183	0.4067152839
184	0.4065642642
185	0.4064270202
186	0.4062197864
187	0.4060269672
188	0.4058733887
189	0.4057062882
190	0.4055897341
191	0.4054130867
192	0.4052433332
193	0.4050832954
194	0.4048775412
195	0.4047318935
196	0.4046527492
197	0.4045208122
198	0.4043311873
199	0.4042460024
200	0.4040988768
201	0.403991732
202	0.4037169275
203	0.4036464448
204	0.4035625097
205	0.4034120148
206	0.4032218798
207	0.4030032972
208	0.402857237
209	0.4027670439
210	0.4026674649
211	0.4025016997
212	0.4023557368
213	0.4021955741
214	0.4019685769
215	0.4019216663
216	0.4016948748
217	0.4015846627
218	0.4014947597
219	0.4014022959
220	0.4012475289
221	0.4011021099
222	0.4010158474
223	0.4008795901
224	0.4007707393
225	0.4006838245
226	0.4005294283
227	0.4003800158
228	0.4003282427
229	0.400246356
230	0.4000798397
231	0.3999426196
232	0.3998567459
233	0.3997609083
234	0.3996849272
235	0.3996062091
236	0.3995049061
237	0.3992778524
238	0.3989334415
239	0.3987423655
240	0.3986492317
241	0.3985746056
242	0.3983938673
243	0.3982700658
244	0.398173605
245	0.3980450918
246	0.3979131534
247	0.3978027311
248	0.3976929678
249	0.3975440835
250	0.3974341362
251	0.3973880091
252	0.3972173881
253	0.3970984443
254	0.3969955526
255	0.3969199744
256	0.396822552
257	0.3967266363
258	0.3965495792
259	0.3964865349
260	0.3964091398
261	0.3962679769
262	0.3962460864
263	0.3960686918
264	0.3958731651
265	0.3957105401
266	0.3955826382
267	0.3954411274
268	0.3952884798
269	0.3951058018
270	0.3950332884
271	0.3949079387
272	0.3947431692
273	0.3946484644
274	0.3945587546
275	0.3944768265
276	0.3943778456
277	0.3942923561
278	0.3941065135
279	0.3939825559
280	0.3938954197
281	0.3937645775
282	0.3934867993
283	0.393388686
284	0.3932242649
285	0.3931596576
286	0.3930857426
287	0.3929579152
288	0.3928291197
289	0.3926594273
290	0.3925505415
291	0.3924284746
292	0.392355664
293	0.3922311726
294	0.3920909663
295	0.3920137528
296	0.3918541386
297	0.3917862956
298	0.3915712903
299	0.3914830189
300	0.3912118541
301	0.391010149
302	0.3909009821
303	0.3907421011
304	0.3906255137
305	0.390461992
306	0.3903179583
307	0.3902104577
308	0.390066054
309	0.3899471381
310	0.3898474201
311	0.3897684553
312	0.3897050062
313	0.3896382498
314	0.3895349018
315	0.3893833664
316	0.3892610728
317	0.3891708266
318	0.3889809358
319	0.3888000769
320	0.3886452941
321	0.3885972198
322	0.3885089198
323	0.3884223356
324	0.3883761522
325	0.3882263409
326	0.3879428432
327	0.3878350237
328	0.3877238758
329	0.3875697404
330	0.3874407808
331	0.3873326842
332	0.3872685336
333	0.3870906993
334	0.3869570823
335	0.3868699516
336	0.3867155873
337	0.3865797993
338	0.3865130904
339	0.3863934141
340	0.3862671654
341	0.38617304
342	0.386079204
343	0.3859029757
344	0.3857746509
345	0.3856906462
346	0.3855669822
347	0.3854165537
348	0.3852700011
349	0.3852055843
